Date,Time,Opponent,HomeOrAway,Kit,Trips
07/01,14:30,Watlington,H,W,6
12/01,14:30,BMBA v Foxhil,H,W,6
14/01,14:30,Tring,H,W,6
15/01,14:30,Chesham,H,W,6
18/01,14:30,Herts,H,W,6
21/01,14:30,Kitcheners,H,W,6
22/01,14:30,Royal Household,H,W,6
28/01,14:30,Desbourgh,H,W,6
05/02,14:30,BCVPS v Foxhill,H,W,6
07/02,14:30,Foxhill v BMBA,H,W,6
11/02,14:30,Chesham,H,W,6
15/02,14:30,Ladygate,H,W,5
18/02,14:30,Linslade,H,W,6
22/02,14:30,BMBA v Berkshire,H,W,6
25/02,14:30,Cheddington,H,W,6
07/03,14:30,BCVPS v Bucks Mason,H,W,6
11/03,14:30,Aylesbury Town,H,W,6
22/03,14:30,BCVPS v Berks,H,W,6
25/03,14:30,Tring,H,W,6
01/04,14:30,Bovingdon,H,W,6
